locus_tag,possible.G.to.A,possible.G.to.T,possible.G.to.C,possible.A.to.G,possible.A.to.T,possible.A.to.C,possible.T.to.G,possible.T.to.A,possible.T.to.C,possible.C.to.G,possible.C.to.A,possible.C.to.T,gene.length,gene
ECB_02053,40,28,28,30,8,8,13,21,46,22,26,54,471,yehS
ECB_02054,73,47,47,47,13,13,18,28,79,27,37,67,720,yehT
ECB_02055,151,106,106,94,38,39,53,73,164,88,115,180,1686,yehU
ECB_02056,61,40,40,43,14,15,21,31,63,42,56,90,732,yehV
ECB_02057,4,3,3,6,3,3,5,8,13,9,10,13,108,ECB_02057
ECB_02058,88,71,71,37,24,25,30,42,66,26,41,75,732,yehW
ECB_02059,102,77,77,54,22,22,28,37,85,43,53,95,927,yehX
ECB_02060,149,122,122,44,27,28,36,51,104,50,65,133,1158,yehY
ECB_02061,89,61,61,66,25,26,33,36,73,47,55,96,918,yehZ
ECB_02062,229,173,173,113,32,32,73,88,187,121,136,259,2298,bglX
ECB_02063,149,106,106,88,26,26,49,60,154,92,108,208,1716,dld
ECB_02064,87,75,75,58,20,20,30,37,89,39,49,89,933,pbpG
ECB_02065,57,47,47,17,9,10,23,31,57,29,33,75,588,yohC
ECB_02066,71,52,52,21,7,7,19,29,59,27,36,56,579,yohD
ECB_02067,85,59,59,37,19,20,19,31,70,35,42,69,762,yohF
ECB_02068,138,85,85,83,33,34,45,57,118,66,83,138,1365,yohGH
ECB_02069,101,68,68,54,16,17,33,45,87,36,49,89,948,yohI
ECB_02070,35,28,28,26,15,15,8,16,36,20,24,47,399,yohJ
ECB_02071,65,53,53,37,23,23,23,33,63,34,48,80,696,yohK
ECB_02072,84,62,62,49,24,24,37,46,91,31,36,94,885,cdd
ECB_02073,50,31,31,47,21,21,27,38,86,35,41,71,720,sanA
ECB_02074,9,7,7,18,10,10,9,13,29,11,16,19,240,yeiS
ECB_02075,90,57,57,91,32,34,44,62,128,71,83,126,1239,yeiT
ECB_02076,112,77,77,65,21,21,33,44,118,57,77,121,1236,yeiA
ECB_02077,93,73,73,36,18,18,36,59,103,52,68,123,1011,mglC
ECB_02078,111,74,74,108,37,37,56,88,167,63,83,137,1521,mglA
ECB_02079,90,61,61,63,23,23,38,47,84,36,43,110,999,mglB
ECB_02080,82,61,61,56,26,26,42,58,116,49,59,102,1041,galS
ECB_02081,115,88,88,46,20,22,40,52,115,60,74,140,1158,yeiB
ECB_02082,58,45,45,35,11,11,23,29,62,33,44,77,669,folE
ECB_02083,69,50,50,41,18,18,21,26,75,38,46,96,837,yeiG
ECB_02084,139,110,110,101,34,35,81,93,174,105,120,262,1992,cirA
ECB_02085,128,104,104,56,30,30,66,91,131,62,84,191,1470,lysP
ECB_02086,91,66,66,54,21,22,34,44,91,33,47,84,882,yeiE
ECB_02087,102,88,88,44,16,16,46,58,99,43,63,130,1050,yeiH
ECB_02088,46,34,34,51,14,14,32,44,84,50,60,108,858,nfo
ECB_02089,89,69,69,68,29,29,35,49,112,49,61,118,1089,yeiI
ECB_02090,110,89,89,67,33,35,51,76,139,54,70,121,1251,yeiJ
ECB_02091,62,46,46,50,20,22,34,48,85,55,69,118,942,rihB
ECB_02092,54,35,35,45,11,13,25,32,85,22,28,53,660,yeiL
ECB_02093,103,89,89,65,36,38,56,82,132,45,66,130,1251,yeiM
ECB_02094,64,52,52,75,18,18,43,64,103,49,53,87,939,yeiN
ECB_02095,55,43,43,72,42,44,34,46,108,39,44,86,942,yeiC
ECB_02096,168,148,148,95,44,44,97,121,166,63,81,164,1692,fruA
ECB_02097,63,49,49,57,20,21,49,58,94,50,57,109,939,fruK
ECB_02098,99,68,68,70,33,33,44,51,99,62,70,135,1131,fruB
ECB_02099,95,79,79,48,24,24,41,57,116,74,87,150,1182,setB
ECB_02100,16,11,11,16,5,5,12,16,24,15,17,28,255,yeiW
ECB_02101,42,30,30,39,11,12,26,32,54,26,31,65,573,yeiP
ECB_02102,96,69,69,101,45,46,43,62,143,83,94,161,1467,yeiQ
ECB_02103,81,53,53,63,24,25,29,40,93,56,64,120,987,yeiR
ECB_02104,44,29,29,47,25,27,25,38,87,31,40,71,714,yeiU
ECB_02105,31,17,17,40,18,19,37,44,75,22,27,47,567,spr
ECB_02106,115,90,90,97,40,41,43,65,139,89,106,186,1557,rtn
ECB_02107,128,92,92,105,40,42,44,56,161,103,122,215,1815,yejA
ECB_02108,86,74,74,43,20,20,34,51,114,59,80,147,1095,yejB
ECB_02109,87,65,65,40,19,19,36,46,112,61,73,121,1026,yejE
ECB_02110,156,102,102,117,55,57,56,78,160,73,92,144,1590,yejF
ECB_02111,29,20,20,27,14,14,14,16,38,6,10,28,345,yejG
ECB_02112,117,101,101,45,33,33,32,55,106,53,64,132,1191,bcr
ECB_02113,55,41,41,37,11,11,38,45,80,34,40,70,696,rsuA
ECB_02114,132,93,93,107,37,37,64,81,173,96,112,209,1761,yejH
ECB_02115,20,11,11,20,4,4,19,19,21,7,14,37,285,rplY
ECB_02116,100,61,61,62,21,21,29,33,92,42,53,114,1008,yejK
ECB_02117,13,7,7,17,4,4,7,10,17,17,19,33,228,yejL
ECB_02118,152,105,105,81,39,42,59,76,165,83,106,218,1761,yejM
ECB_02119,169,114,114,154,91,95,113,130,299,115,135,220,2511,yejO
ECB_02120,57,40,40,44,19,21,16,24,60,36,41,74,648,narP
ECB_02121,106,71,71,55,16,19,40,50,98,46,55,103,1053,ccmH
ECB_02122,59,39,39,25,9,9,12,19,48,31,35,64,558,ccmG
ECB_02123,219,193,193,64,34,34,59,81,160,106,116,238,1944,ccmF
ECB_02124,46,34,34,30,11,11,18,23,42,22,25,49,480,ccmE
ECB_02125,24,17,17,9,4,4,12,14,22,8,9,14,210,ccmD
ECB_02126,75,65,65,30,19,20,20,32,60,34,44,78,738,ccmC
ECB_02127,73,59,59,37,22,22,26,33,63,28,37,72,663,ccmB
ECB_02128,63,41,41,35,14,16,21,27,58,36,42,66,624,ccmA
ECB_02129,54,33,33,23,7,7,20,25,53,25,28,65,603,napC
ECB_02130,44,34,34,26,10,10,13,14,34,19,24,46,450,napB
ECB_02131,80,66,66,34,16,17,29,37,81,44,51,107,864,napH
ECB_02132,74,57,57,35,13,13,24,27,54,36,44,87,696,napG
ECB_02133,235,174,174,115,26,26,99,105,171,119,144,322,2487,napA
ECB_02134,26,16,16,20,8,8,7,10,14,10,13,32,264,napD
ECB_02135,31,20,20,22,13,14,16,21,48,29,33,64,495,napF
ECB_02136,45,29,29,35,11,11,14,17,41,24,27,49,489,eco
ECB_02137,165,108,108,96,35,35,49,61,129,88,97,177,1647,mqo
ECB_02138,180,134,134,76,24,24,52,65,150,73,97,187,1644,yojI
ECB_02139,57,44,44,39,14,14,23,29,75,29,34,57,651,alkB
ECB_02140,86,63,63,67,23,25,39,42,92,63,77,127,1065,ada
ECB_02141,86,67,67,62,12,12,33,41,86,67,77,124,1056,yojL
ECB_02142,43,24,24,36,12,12,83,83,96,35,46,148,936,ompC
ECB_02143,61,45,45,25,14,17,10,11,29,18,27,55,504,insB-17
ECB_02144,12,9,9,16,6,6,17,20,29,18,22,35,276,insA-17
ECB_02145,282,178,178,140,61,65,79,110,290,123,164,274,2802,rcsC
ECB_02146,106,64,64,124,59,61,65,96,191,113,142,214,1827,atoS
ECB_02147,88,52,52,104,42,43,43,67,138,73,96,148,1386,atoC
ECB_02148,37,27,27,44,25,25,33,38,58,49,60,91,663,atoD
ECB_02149,43,38,38,42,13,13,29,35,69,38,46,66,651,atoA
ECB_02150,88,66,66,63,43,43,59,72,118,74,101,171,1323,atoE
ECB_02151,89,70,70,89,42,42,54,71,122,58,68,114,1185,atoB
ECB_02152,68,50,50,45,21,22,25,33,71,35,45,76,777,yfaP
ECB_02153,174,123,123,97,39,41,58,62,155,79,98,152,1650,yfaQ
ECB_02154,433,299,299,262,93,93,170,196,429,224,263,473,4605,yfaS
ECB_02155,52,32,32,33,17,18,12,20,54,29,33,70,624,yfaT
ECB_02156,146,97,97,99,36,37,52,58,162,75,89,177,1689,yfaA
ECB_02157,217,163,163,144,35,36,145,162,223,118,170,331,2628,gyrA
ECB_02158,75,49,49,35,9,10,15,21,60,43,47,77,723,ubiG
ECB_02159,284,199,199,176,105,107,170,199,442,174,202,379,3753,yfaL
ECB_02160,221,158,158,90,28,28,85,101,174,96,129,324,2286,nrdA
ECB_02161,99,63,63,49,10,10,37,48,92,50,67,153,1131,nrdB
ECB_02162,22,14,14,12,3,3,10,14,25,16,19,31,255,yfaE
ECB_02163,53,33,33,44,18,18,24,30,66,21,30,53,651,inaA
ECB_02164,18,9,9,25,10,10,4,8,22,6,9,13,207,yfaH
ECB_02165,96,62,62,63,20,20,41,49,120,23,32,83,1077,glpQ
ECB_02166,124,102,102,58,26,26,51,67,127,53,68,150,1359,glpT
ECB_02167,121,99,99,83,31,31,74,94,148,108,127,221,1629,glpA
ECB_02168,106,75,75,72,32,32,45,56,119,82,90,147,1260,glpB
ECB_02169,101,77,77,77,29,29,28,38,84,67,79,158,1191,glpC
ECB_02170,63,39,39,64,23,27,27,37,90,45,57,101,903,yfaD
ECB_02171,72,56,56,46,18,18,34,46,85,34,43,74,804,yfaU
ECB_02172,132,109,109,77,45,46,51,70,134,49,59,114,1290,yfaV
ECB_02173,83,60,60,63,22,23,50,61,118,65,74,139,1218,yfaW
ECB_02174,61,38,38,46,18,21,32,45,90,39,48,80,783,yfaX
ECB_02175,102,70,70,76,30,30,56,60,115,55,67,134,1203,yfaY
ECB_02176,40,31,31,25,11,11,29,35,61,26,27,62,543,yfaZ
ECB_02177,31,18,18,33,12,12,16,25,48,18,24,38,426,yfaO
ECB_02178,35,22,22,42,15,16,34,42,89,19,26,50,603,ais
ECB_02179,73,47,47,82,35,37,42,61,125,74,88,117,1158,yfbE
ECB_02180,66,44,44,51,19,21,30,50,103,57,68,115,969,yfbF
ECB_02181,143,111,111,112,43,45,60,95,207,106,128,228,1983,yfbG
ECB_02182,56,38,38,58,23,23,34,47,97,51,61,91,891,yfbH
ECB_02183,119,93,93,98,54,57,51,74,158,82,99,186,1653,arnT
ECB_02184,37,30,30,18,10,10,9,13,28,13,17,35,336,yfbW
ECB_02185,33,30,30,24,12,12,13,18,43,14,16,39,387,yfbJ
ECB_02186,23,16,16,20,4,5,6,7,24,10,12,21,267,pmrD
ECB_02187,147,105,105,73,24,24,60,69,133,57,70,124,1356,menE
ECB_02188,112,81,81,54,24,25,20,26,69,50,60,106,963,menC
ECB_02189,67,50,50,41,11,11,37,41,62,41,53,119,858,menB
ECB_02190,65,50,50,39,15,15,34,38,81,36,43,80,759,yfbB
ECB_02191,174,135,135,94,36,37,51,71,131,78,91,183,1671,menD
ECB_02192,114,82,82,94,33,33,45,53,124,56,79,129,1296,menF
ECB_02193,27,19,19,23,10,10,15,16,32,11,14,29,306,elaB
ECB_02194,44,28,28,25,6,7,18,24,59,12,16,31,462,elaA
ECB_02195,58,42,42,66,27,29,37,50,105,52,58,100,918,elaC
ECB_02196,44,23,23,131,51,59,40,51,157,36,44,86,1212,elaD
ECB_02197,20,11,11,23,11,14,17,23,48,17,20,33,351,yfbL
ECB_02198,40,26,26,37,19,19,16,24,60,16,24,37,504,yfbM
ECB_02199,37,19,19,37,11,14,31,32,56,27,33,46,522,ECB_02199
ECB_02200,88,54,54,56,19,28,21,22,69,18,33,83,840,ECB_02200
ECB_02201,139,119,119,39,21,21,55,63,95,62,79,190,1278,nuoN
ECB_02202,161,124,124,44,19,20,53,68,117,76,100,212,1530,nuoM
ECB_02203,186,160,160,57,31,31,67,84,124,107,123,284,1842,nuoL
ECB_02204,24,18,18,14,7,7,11,14,24,18,26,47,303,nuoK
ECB_02205,60,49,49,24,13,14,24,33,43,19,28,69,555,nuoJ
ECB_02206,41,28,28,36,9,9,15,17,35,30,40,76,543,nuoI
ECB_02207,103,83,83,34,14,14,32,42,71,38,53,128,978,nuoH
ECB_02208,227,169,169,129,43,43,132,151,233,125,150,346,2733,nuoG
ECB_02209,116,92,92,77,22,22,49,55,93,70,88,181,1338,nuoF
ECB_02210,56,38,38,24,9,9,15,19,38,12,22,54,501,nuoE
ECB_02211,159,124,124,69,12,12,66,80,137,98,118,250,1803,nuoC
ECB_02212,49,30,30,32,14,14,36,41,64,32,37,70,663,nuoB
ECB_02213,29,26,26,24,11,12,19,23,41,27,34,59,444,nuoA
ECB_02214,77,53,53,60,28,32,48,52,114,33,40,80,939,lrhA
ECB_02215,92,64,64,66,25,25,58,75,122,46,60,140,1218,yfbQ
ECB_02216,52,37,37,44,13,13,14,18,51,25,34,62,600,yfbR
ECB_02217,174,140,140,83,40,41,83,109,203,84,104,180,1833,yfbS
ECB_02218,72,53,53,32,15,16,28,37,68,32,39,56,651,yfbT
ECB_02219,28,10,10,23,6,6,23,29,59,26,30,49,495,yfbU
ECB_02220,39,21,21,26,11,11,25,26,54,21,26,39,456,yfbV
ECB_02221,78,63,63,71,22,22,77,79,105,47,70,175,1203,ackA
ECB_02222,170,132,132,100,32,32,151,159,187,102,137,297,2145,pta
ECB_02223,112,87,87,71,39,42,58,81,146,96,119,184,1521,yfcC
ECB_02224,42,22,22,39,12,12,17,21,46,32,36,59,543,yfcD
ECB_02225,56,44,44,32,11,11,19,24,59,17,23,50,555,yfcE
ECB_02226,61,39,39,44,19,19,23,29,70,23,31,51,645,yfcF
ECB_02227,51,29,29,40,20,20,25,36,73,30,35,62,648,yfcG
ECB_02228,26,16,16,22,7,7,15,22,42,11,17,35,363,folX
ECB_02229,78,65,65,55,22,22,30,44,86,51,60,95,894,yfcH
ECB_02230,69,45,45,70,29,34,32,45,105,26,31,62,891,yfcI
ECB_02231,83,61,61,55,16,16,20,24,56,33,42,76,774,hisP
ECB_02232,64,52,52,28,10,12,30,41,78,35,45,86,717,hisM
ECB_02233,70,55,55,24,10,11,34,44,69,33,45,77,687,hisQ
ECB_02234,59,42,42,60,16,16,29,37,71,40,47,86,783,hisJ
ECB_02235,61,37,37,47,21,21,39,46,83,37,42,82,783,argT
ECB_02236,46,34,34,31,13,13,23,29,64,37,43,59,570,ubiX
ECB_02237,110,77,77,60,15,15,60,80,146,90,111,206,1518,purF
ECB_02238,41,33,33,21,9,11,18,23,51,22,33,59,489,cvpA
ECB_02239,89,67,67,46,19,19,25,30,58,25,30,41,663,dedD
ECB_02240,122,97,97,70,30,32,49,66,120,64,69,133,1269,folC
ECB_02241,91,62,62,49,18,18,44,49,78,37,46,94,915,accD
ECB_02242,56,41,41,28,14,15,20,31,69,33,44,81,660,dedA
ECB_02243,80,59,59,43,21,23,25,30,69,36,47,86,813,truA
ECB_02244,90,68,68,71,28,28,42,49,82,44,54,116,1014,usg
ECB_02245,109,85,85,69,28,29,47,57,124,52,60,114,1137,pdxB
ECB_02246,113,82,82,72,23,25,45,53,100,28,35,74,996,flk
ECB_02247,104,91,91,63,36,36,57,66,118,76,89,130,1179,yfcJ
ECB_02248,79,57,57,58,26,26,69,77,98,80,96,177,1221,fabB
ECB_02249,193,127,127,124,49,50,57,69,214,82,93,176,2007,yfcK
ECB_02250,28,16,16,16,5,5,9,11,30,10,13,27,279,yfcL
ECB_02251,46,33,33,30,12,12,11,20,58,18,22,50,549,yfcM
ECB_02252,67,52,52,40,18,18,23,34,73,53,63,106,810,yfcA
ECB_02253,72,51,51,45,20,20,30,36,76,42,48,91,825,mepA
ECB_02254,78,57,57,54,15,15,31,46,82,85,101,157,1086,aroC
ECB_02255,80,64,64,42,10,10,26,39,79,48,57,124,933,yfcB
ECB_02256,76,37,37,28,11,11,10,16,54,18,21,41,552,yfcN
ECB_02257,40,28,28,50,36,39,44,52,124,25,29,50,798,yfcO
ECB_02258,42,27,27,53,30,33,25,29,68,12,14,33,552,yfcP
ECB_02259,43,28,28,38,24,24,12,17,49,9,14,31,480,yfcQ
ECB_02260,40,26,26,34,25,26,33,38,67,7,12,33,507,yfcR
ECB_02261,65,46,46,49,22,22,26,29,63,26,36,82,753,yfcS
ECB_02262,179,119,119,126,44,44,108,125,276,137,155,310,2646,yfcTU
ECB_02263,30,23,23,34,15,15,32,37,63,25,31,64,564,yfcV
ECB_02264,40,32,32,30,10,10,21,22,47,24,29,56,486,sixA
ECB_02265,184,126,126,137,53,55,104,132,228,98,128,200,2145,yfcX
ECB_02266,109,81,81,83,40,40,63,76,132,71,83,132,1311,yfcY
ECB_02267,18,15,15,17,3,3,16,18,28,11,13,35,285,yfcZ
ECB_02268,76,52,52,70,36,36,80,93,157,55,64,152,1347,fadL
ECB_02269,5,3,3,24,5,7,10,13,32,3,3,12,213,yfdF
ECB_02270,60,45,45,25,14,16,10,11,30,18,27,55,504,insB-18
ECB_02271,12,9,9,16,6,6,17,20,29,18,22,35,276,insA-18
ECB_02272,64,49,49,30,7,7,47,53,94,25,28,69,756,vacJ
ECB_02273,59,44,44,63,26,26,27,41,81,46,60,103,933,yfdC
ECB_02274,75,52,52,69,23,31,32,41,104,35,45,79,936,dsdC
ECB_02275,103,85,85,85,53,54,54,78,139,59,79,145,1338,dsdX
ECB_02276,91,64,64,94,36,36,68,80,151,63,71,126,1329,dsdA
ECB_02277,101,69,69,122,82,89,61,83,198,49,64,102,1539,emrY
ECB_02278,64,44,44,111,43,46,54,72,152,36,48,70,1164,emrK
ECB_02279,24,14,14,49,14,15,25,38,78,21,35,59,615,evgA
ECB_02280,179,106,106,327,148,155,155,206,475,100,132,264,3594,evgS
ECB_02281,74,48,48,89,51,55,50,61,144,34,41,72,1146,yfdE
ECB_02282,62,45,45,79,58,60,48,71,125,22,31,75,945,yfdV
ECB_02283,92,65,65,138,69,71,90,119,227,59,78,122,1695,yfdU
ECB_02284,72,42,42,90,35,35,70,88,164,46,59,100,1251,yfdW
ECB_02285,42,24,24,65,29,29,31,37,65,19,22,42,633,yfdX
ECB_02286,18,8,8,28,16,18,13,17,35,4,6,12,276,ypdI
ECB_02287,17,13,13,8,6,7,8,12,25,14,17,27,243,yfdY
ECB_02288,54,35,35,62,28,30,35,40,81,57,64,96,921,ddg
ECB_02289,111,91,91,62,18,19,39,56,105,64,78,142,1239,yfdZ
ECB_02290,150,105,105,78,32,32,40,73,151,96,135,219,1698,ypdA
ECB_02291,65,46,46,46,12,12,7,19,58,30,41,86,735,ypdB
ECB_02292,89,61,61,38,15,16,26,32,89,36,45,88,858,ypdC
ECB_02293,260,181,181,113,31,31,72,98,211,116,153,307,2496,ypdD
ECB_02294,106,84,84,56,21,22,26,37,78,62,72,120,1038,ypdE
ECB_02295,110,75,75,56,23,23,32,45,88,66,78,120,1086,ypdF
ECB_02296,105,85,85,45,18,18,61,78,115,71,92,155,1248,ypdG
ECB_02297,25,16,16,25,4,4,10,14,24,16,25,38,327,ypdH
ECB_02298,68,49,49,49,19,19,40,57,111,60,66,103,966,glk
ECB_02299,99,77,77,76,51,52,53,72,135,71,88,124,1257,yfeO
ECB_02300,11,7,7,22,12,13,12,13,38,18,21,35,327,ypeC
ECB_02301,137,106,106,57,28,29,50,73,133,46,57,115,1239,mntH
ECB_02302,81,70,70,60,24,24,58,73,101,62,86,181,1203,nupC
ECB_02303,212,134,134,98,45,48,63,91,237,91,116,232,2190,yfeA
ECB_02304,25,15,15,37,14,15,16,20,34,17,20,26,345,yfeC
ECB_02305,18,11,11,41,12,16,16,22,36,18,22,34,393,yfeD
ECB_02306,114,74,74,63,17,17,77,87,143,51,67,166,1416,gltX
ECB_02307,28,8,8,33,14,16,16,20,33,8,17,25,342,ECB_02307
ECB_02308,95,59,59,58,33,35,33,45,95,36,46,83,927,yfeR
ECB_02309,94,71,71,45,23,24,39,53,95,44,58,115,999,yfeH
ECB_02310,29,19,19,14,4,4,4,6,12,9,11,24,219,ypeB
ECB_02311,191,146,146,121,39,40,99,116,190,90,109,208,2016,ligA
ECB_02312,100,57,57,54,24,24,53,59,97,29,39,77,987,zipA
ECB_02313,53,43,43,42,17,17,25,35,76,37,49,85,762,cysZ
ECB_02314,61,40,40,69,24,24,52,69,100,56,65,112,972,cysK
ECB_02315,20,13,13,19,2,2,17,19,22,14,15,31,258,ptsH
ECB_02316,128,81,81,114,35,35,106,129,175,58,86,188,1728,ptsI
ECB_02317,32,21,21,33,6,6,30,36,48,25,38,66,510,crr
ECB_02318,84,54,54,45,19,20,26,35,87,40,51,91,852,pdxK
ECB_02319,31,17,17,28,14,14,11,17,38,17,20,35,375,yfeK
ECB_02320,24,11,11,66,20,20,36,45,95,12,16,51,735,yfeS
ECB_02321,82,64,64,52,19,19,30,41,78,54,63,95,912,cysM
ECB_02322,129,96,96,45,15,15,35,44,86,57,65,126,1098,cysA
ECB_02323,62,38,38,12,3,3,7,13,34,29,31,51,450,cysW
ECB_02324,107,92,92,33,15,16,22,29,66,40,46,89,834,cysU
ECB_02325,101,75,75,57,15,15,21,26,57,56,62,142,1017,cysP
ECB_02326,71,56,56,45,22,23,26,38,69,44,53,89,792,ucpA
ECB_02327,89,62,62,53,16,17,20,30,69,44,57,93,858,yfeT
ECB_02328,71,58,58,57,19,19,27,45,78,63,71,104,897,yfeU
ECB_02329,125,102,102,56,27,27,42,59,126,99,116,196,1425,yfeV
ECB_02330,11,9,9,12,8,8,11,11,21,5,8,15,177,yfeW
ECB_02331,80,54,54,38,7,7,38,45,75,47,53,116,900,yfeX
ECB_02332,37,32,32,35,6,6,22,28,56,26,30,61,576,yfeY
ECB_02333,50,38,38,18,6,6,22,26,58,16,22,43,450,yfeZ
ECB_02334,42,23,23,17,7,7,17,21,45,15,19,40,426,ypeA
ECB_02335,69,54,54,67,23,23,32,41,83,42,51,89,870,amiA
ECB_02336,61,38,38,42,16,17,30,36,89,61,65,110,900,hemF
ECB_02337,117,83,83,55,18,18,23,31,94,45,57,101,1053,yfeG
ECB_02338,46,33,33,32,15,17,23,23,45,27,32,52,501,yffI
ECB_02339,56,49,49,45,25,25,27,35,62,34,39,65,660,eutL
ECB_02340,82,63,63,59,22,22,33,41,67,54,62,102,888,eutC
ECB_02341,123,89,89,62,26,26,28,38,83,78,101,201,1362,eutB
ECB_02342,150,122,122,61,22,22,48,63,108,90,109,181,1404,eutA
ECB_02343,100,85,85,56,27,28,49,64,85,69,91,165,1227,eutH
ECB_02344,137,113,113,56,26,26,30,46,96,60,69,127,1188,eutG
ECB_02345,91,71,71,38,13,13,29,37,68,44,52,94,837,eutJ
ECB_02346,131,106,106,80,26,27,42,58,101,95,107,175,1404,eutE
ECB_02347,23,18,18,20,8,8,6,12,25,17,18,32,288,cchB
ECB_02348,23,17,17,19,9,9,17,19,25,17,22,37,294,cchA
ECB_02349,102,79,79,62,26,27,31,39,82,58,68,109,1017,eutI
ECB_02350,95,70,70,36,11,12,17,23,58,41,52,101,810,eutT
ECB_02351,57,41,41,43,14,14,15,20,41,45,54,93,702,eutQ
ECB_02352,43,27,27,33,12,13,9,14,45,22,29,48,480,eutP
ECB_02353,24,18,18,27,7,7,10,14,36,21,26,32,336,ypfE
ECB_02354,218,169,169,124,40,41,86,110,189,103,136,259,2280,maeB
ECB_02355,75,48,48,73,25,25,30,40,84,48,59,101,951,talA
ECB_02356,195,139,139,107,43,44,70,92,172,90,111,212,2004,tktB
ECB_02357,110,73,73,58,28,28,28,38,105,49,58,95,1044,ypfG
ECB_02358,47,32,32,32,4,4,18,26,52,29,35,70,576,yffH
ECB_02359,160,120,120,107,38,38,71,90,177,109,127,223,1980,aegA
ECB_02360,176,112,112,87,31,32,54,71,175,76,92,182,1701,narQ
ECB_02361,298,220,220,152,69,71,103,135,255,173,201,370,3114,acrD
ECB_02362,19,12,12,21,5,5,16,18,42,17,22,41,357,yffB
ECB_02363,96,70,70,60,24,24,44,57,118,58,65,110,1128,dapE
ECB_02364,19,10,10,8,1,1,3,6,17,9,9,23,201,ECB_02364
ECB_02365,70,57,57,32,10,10,27,36,77,23,29,59,699,ypfH
ECB_02366,192,136,136,133,54,55,91,101,218,80,98,169,2016,ypfI
ECB_02367,67,45,45,56,19,20,35,39,77,42,49,90,864,ypfJ
ECB_02368,68,49,49,38,6,6,27,31,51,29,32,96,714,purC
ECB_02369,96,65,65,50,22,22,65,68,106,44,48,110,1035,nlpB
ECB_02370,77,60,60,48,19,20,43,53,97,35,44,89,879,dapA
ECB_02371,46,33,33,40,20,20,19,29,63,25,29,51,573,gcvR
ECB_02372,29,17,17,28,5,5,13,15,40,27,31,66,471,bcp
ECB_02373,50,33,33,37,12,13,21,22,53,39,45,75,618,hyfA
ECB_02374,180,153,153,104,65,69,69,87,171,112,137,254,2019,hyfB
ECB_02375,66,53,53,35,19,19,32,39,74,43,48,87,720,hyfC
ECB_02376,146,109,109,46,29,29,30,44,115,83,101,179,1350,hyfD
ECB_02377,64,56,56,39,22,23,17,24,43,31,42,91,651,hyfE
ECB_02378,153,126,126,67,39,41,54,77,144,86,104,209,1581,hyfF
ECB_02379,146,115,115,76,26,26,51,68,152,103,122,203,1668,hyfG
ECB_02380,48,32,32,36,12,14,11,14,38,33,35,68,540,hyfH
ECB_02381,55,34,34,37,22,22,24,35,73,50,68,92,759,hyfI
ECB_02382,41,28,28,20,7,8,12,20,35,15,20,45,414,hyfJ
ECB_02383,176,112,112,119,60,63,65,82,203,97,124,215,2007,hyfR
ECB_02384,60,48,48,36,16,18,25,38,91,49,62,102,849,focB
ECB_02385,116,93,93,45,22,22,23,41,86,57,69,131,1062,perM
ECB_02386,140,97,97,88,33,34,41,53,133,72,83,157,1464,yfgC
ECB_02387,43,29,29,26,10,10,8,11,24,12,16,35,360,yfgD
ECB_02388,88,55,55,39,17,18,22,29,76,27,38,71,747,hda
ECB_02389,118,101,101,65,29,30,55,75,131,63,89,154,1290,uraA
ECB_02390,52,41,41,42,13,13,29,34,42,26,39,83,627,upp
ECB_02391,76,63,63,66,23,24,43,55,93,58,67,126,1038,purM
ECB_02392,49,37,37,32,10,10,22,34,66,36,41,76,639,purN
ECB_02393,162,118,118,111,30,31,65,93,205,99,131,253,2067,ppk
ECB_02394,128,87,87,101,37,37,59,77,154,70,84,155,1542,ppx
ECB_02395,183,122,122,116,48,53,81,114,262,90,120,223,2244,yfgF
ECB_02396,9,4,4,15,8,8,5,5,13,12,19,25,192,yfgG
ECB_02397,28,21,21,44,17,17,30,36,60,29,31,46,519,yfgH
ECB_02398,41,19,19,55,10,14,17,18,41,23,28,49,540,yfgI
ECB_02399,113,83,83,85,32,32,76,90,127,81,98,215,1578,guaA
ECB_02400,98,78,78,84,24,24,111,123,145,77,97,181,1467,guaB
ECB_02401,123,77,77,94,35,35,56,68,124,67,82,137,1371,xseA
ECB_02402,16,10,10,18,6,6,7,8,25,5,6,16,216,yfgJ
ECB_02403,128,97,97,86,27,27,69,86,140,61,74,156,1473,yfgK
ECB_02404,95,74,74,56,18,18,67,76,127,61,67,137,1179,yfgL
ECB_02405,47,29,29,44,13,13,36,41,70,24,27,53,621,yfgM
ECB_02406,110,72,72,68,25,25,72,79,127,62,69,144,1275,hisS
ECB_02407,96,71,71,62,20,21,49,62,101,55,76,135,1119,ispG
ECB_02408,89,61,61,74,38,39,55,58,100,44,51,87,1014,yfgA
ECB_02409,99,74,74,56,13,13,48,56,93,54,76,142,1155,yfgB
ECB_02410,23,21,21,26,7,7,28,31,46,25,30,56,432,ndk
ECB_02411,207,159,159,141,66,68,93,105,228,123,152,223,2313,pbpC
ECB_02412,468,337,337,295,100,102,206,238,503,212,245,497,4962,yfhM
ECB_02413,65,51,51,67,35,35,29,39,83,38,43,76,846,sseA
ECB_02414,55,35,35,71,24,24,29,43,80,30,36,62,777,sseB
ECB_02415,128,102,102,60,23,23,47,55,106,56,70,154,1284,pepB
ECB_02416,15,8,8,12,4,4,3,6,17,9,11,23,201,yfhJ
ECB_02417,21,12,12,21,5,5,18,22,36,12,16,40,336,fdx
